Day,Clicks,Impressions,CTR,Currency Code,Avg CPC,Cost,Impressions Abs Top %,Impressions Top %,Conversions,View-throu gh conv,Cost _ conv,Conv rate
2024-10-04,24.0,4019.0,0.60%,CAD,0.48,11.49,0.00%,0.00%,1.0,0.0,11.49,4.17%
2024-10-03,61.0,8613.0,0.71%,CAD,0.43,26.26,0.00%,100.00%,4.0,0.0,6.57,6.56%
2024-10-02,27.0,3798.0,0.71%,CAD,0.58,15.79,0.00%,33.33%,0.0,0.0,0.0,0.00%
2024-10-01,25.0,3068.0,0.81%,CAD,0.6,15.04,12.50%,12.50%,1.0,0.0,15.04,4.00%
2024-09-30,23.0,2545.0,0.90%,CAD,0.58,13.39,0.00%,9.09%,3.0,0.0,4.46,13.04%
2024-09-28,37.0,4206.0,0.88%,CAD,0.48,17.74,0.00%,0.00%,2.0,0.0,8.87,5.41%
2024-09-27,23.0,1547.0,1.49%,CAD,0.64,14.62,0.00%,55.56%,1.0,0.0,14.62,4.35%
2024-09-26,29.0,3276.0,0.89%,CAD,0.89,25.79,0.00%,44.44%,5.0,0.0,5.16,17.24%
2024-09-25,32.0,4213.0,0.76%,CAD,0.69,22.15,18.18%,72.73%,2.0,0.0,11.07,6.25%
2024-09-24,15.0,2715.0,0.55%,CAD,0.87,13.03,5.00%,55.00%,2.0,0.0,6.51,13.33%
2024-09-23,17.0,3276.0,0.52%,CAD,1.04,17.73,12.12%,60.61%,1.0,0.0,17.73,5.88%
2024-09-21,35.0,3999.0,0.88%,CAD,1.12,39.12,5.88%,88.24%,5.0,0.0,7.82,14.29%
2024-09-20,27.0,5327.0,0.51%,CAD,0.83,22.3,12.00%,56.00%,3.0,0.0,7.43,11.11%
2024-09-19,1.0,1005.0,0.10%,CAD,3.09,3.09,7.41%,51.85%,0.0,0.0,0.0,0.00%
2024-09-18,16.0,2690.0,0.59%,CAD,1.13,18.13,13.64%,59.09%,3.0,0.0,6.04,18.75%
2024-09-17,7.0,929.0,0.75%,CAD,2.83,19.78,25.00%,75.00%,2.0,0.0,9.89,28.57%
2024-09-16,24.0,2453.0,0.98%,CAD,0.9,21.59,15.00%,60.00%,2.0,0.0,10.79,8.33%
2024-09-14,15.0,1290.0,1.16%,CAD,1.56,23.39,50.00%,62.50%,0.0,0.0,0.0,0.00%
2024-09-13,12.0,1172.0,1.02%,CAD,1.49,17.86,18.18%,68.18%,1.0,0.0,17.86,8.33%
2024-09-12,18.0,2198.0,0.82%,CAD,1.52,27.36,10.53%,68.42%,1.0,0.0,27.36,5.56%
2024-09-11,9.0,1109.0,0.81%,CAD,3.05,27.45,0.00%,28.57%,1.0,0.0,27.45,11.11%
2024-09-10,6.0,683.0,0.88%,CAD,2.94,17.66,25.00%,87.50%,0.0,0.0,0.0,0.00%
2024-09-09,15.0,1830.0,0.82%,CAD,2.75,41.25,0.00%,66.67%,0.0,0.0,0.0,0.00%
2024-09-07,4.0,520.0,0.77%,CAD,1.08,4.3,10.26%,56.41%,0.0,0.0,0.0,0.00%
2024-09-06,21.0,1863.0,1.13%,CAD,1.57,32.93,20.83%,70.83%,1.0,0.0,32.93,4.76%
2024-09-05,0.0,511.0,0.00%,CAD,0.0,0.0,11.11%,37.04%,0.0,0.0,0.0,0
2024-09-04,20.0,2488.0,0.80%,CAD,1.3,25.94,12.50%,87.50%,2.0,0.0,12.97,10.00%
2024-09-03,7.0,594.0,1.18%,CAD,3.67,25.71,4.35%,60.87%,0.0,0.0,0.0,0.00%
2024-09-02,20.0,1589.0,1.26%,CAD,1.02,20.31,33.33%,54.17%,0.0,0.0,0.0,0.00%
2024-08-31,0.0,172.0,0.00%,CAD,0.0,0.0,0,0,0.0,0.0,0.0,0
2024-08-30,32.0,2948.0,1.09%,CAD,0.45,14.33,50.00%,50.00%,2.0,0.0,7.17,6.25%
2024-08-29,50.0,5064.0,0.99%,CAD,0.46,23.22,0,0,3.0,0.0,7.74,6.00%
2024-08-28,69.0,8404.0,0.82%,CAD,0.42,28.97,28.57%,100.00%,2.0,0.0,14.49,2.90%
2024-08-27,40.0,4300.0,0.93%,CAD,0.59,23.52,0.00%,83.33%,0.0,0.0,0.0,0.00%
2024-08-26,26.0,3630.0,0.72%,CAD,0.66,17.06,0.00%,50.00%,1.0,0.0,17.06,3.85%
2024-08-24,66.0,9618.0,0.69%,CAD,0.68,44.59,0,0,2.0,0.0,22.29,3.03%
2024-08-23,39.0,7063.0,0.55%,CAD,0.75,29.3,19.05%,66.67%,1.0,0.0,29.3,2.56%
2024-08-22,2.0,344.0,0.58%,CAD,1.19,2.39,0.00%,55.56%,0.0,0.0,0.0,0.00%
2024-08-21,54.0,6550.0,0.82%,CAD,0.53,28.37,28.57%,71.43%,2.0,0.0,14.19,3.70%
2024-08-20,1.0,232.0,0.43%,CAD,1.02,1.02,0.00%,66.67%,0.0,0.0,0.0,0.00%
2024-08-19,39.0,5265.0,0.74%,CAD,0.46,17.79,0.00%,33.33%,3.0,0.0,5.93,7.69%
2024-08-17,82.0,8502.0,0.96%,CAD,0.28,23.3,0.00%,80.00%,2.0,0.0,11.65,2.44%
2024-08-16,66.0,8295.0,0.80%,CAD,0.35,23.08,50.00%,50.00%,3.0,0.0,7.69,4.55%
2024-08-15,49.0,5919.0,0.83%,CAD,0.41,20.1,0.00%,50.00%,1.0,0.0,20.1,2.04%
2024-08-14,40.0,4985.0,0.80%,CAD,0.43,17.31,0.00%,66.67%,1.0,0.0,17.31,2.50%
2024-08-13,64.0,7390.0,0.87%,CAD,0.39,24.97,0.00%,0.00%,1.0,0.0,24.97,1.56%
2024-08-12,51.0,5571.0,0.92%,CAD,0.48,24.72,0.00%,60.00%,0.0,0.0,0.0,0.00%
2024-08-10,62.0,7852.0,0.79%,CAD,0.3,18.8,0.00%,0.00%,1.0,0.0,18.8,1.61%
2024-08-09,36.0,3675.0,0.98%,CAD,0.47,16.9,0.00%,50.00%,0.0,0.0,0.0,0.00%
2024-08-08,75.0,8453.0,0.89%,CAD,0.26,19.23,0.00%,37.50%,6.0,0.0,3.2,8.00%
2024-08-07,55.0,5302.0,1.04%,CAD,0.32,17.63,0.00%,50.00%,3.0,0.0,5.88,5.45%
2024-08-06,72.0,6353.0,1.13%,CAD,0.36,26.11,0,0,2.0,0.0,13.05,2.78%
2024-08-05,45.0,4937.0,0.91%,CAD,0.45,20.34,0.00%,50.00%,3.0,0.0,6.78,6.67%
2024-08-03,50.0,4431.0,1.13%,CAD,0.44,21.78,0.00%,100.00%,0.0,0.0,0.0,0.00%
2024-08-02,41.0,2969.0,1.38%,CAD,0.48,19.55,0,0,5.0,0.0,3.91,12.20%
2024-08-01,44.0,3833.0,1.15%,CAD,0.59,25.9,16.67%,66.67%,1.0,0.0,25.9,2.27%
2024-07-31,24.0,3354.0,0.72%,CAD,0.57,13.62,0.00%,75.00%,0.0,0.0,0.0,0.00%
2024-07-30,29.0,2278.0,1.27%,CAD,0.8,23.28,0.00%,50.00%,2.0,0.0,11.64,6.90%
2024-07-29,26.0,2108.0,1.23%,CAD,0.83,21.57,6.25%,43.75%,2.0,0.0,10.78,7.69%
2024-07-27,0.0,167.0,0.00%,CAD,0.0,0.0,50.00%,50.00%,0.0,0.0,0.0,0
2024-07-26,42.0,3698.0,1.14%,CAD,0.51,21.58,0.00%,50.00%,4.0,0.0,5.39,9.52%
2024-07-25,35.0,2420.0,1.45%,CAD,0.64,22.5,0.00%,50.00%,1.0,0.0,22.5,2.86%
2024-07-24,38.0,4618.0,0.82%,CAD,0.57,21.52,50.00%,50.00%,1.0,0.0,21.52,2.63%
2024-07-23,32.0,3241.0,0.99%,CAD,0.66,21.15,0.00%,52.17%,1.0,0.0,21.15,3.13%
2024-07-22,23.0,2388.0,0.96%,CAD,0.98,22.43,16.00%,56.00%,2.0,0.0,11.22,8.70%
2024-07-20,40.0,2498.0,1.60%,CAD,0.75,29.85,100.00%,100.00%,4.0,0.0,7.46,10.00%
2024-07-19,18.0,2372.0,0.76%,CAD,0.78,14.02,20.00%,72.00%,0.0,0.0,0.0,0.00%
2024-07-18,4.0,754.0,0.53%,CAD,2.06,8.22,0.00%,69.23%,0.0,0.0,0.0,0.00%
2024-07-17,24.0,4802.0,0.50%,CAD,0.72,17.17,13.89%,69.44%,0.0,0.0,0.0,0.00%
2024-07-16,24.0,4674.0,0.51%,CAD,1.02,24.37,26.47%,91.18%,2.0,0.0,12.19,8.33%
2024-07-15,12.0,3428.0,0.35%,CAD,1.44,17.25,16.67%,83.33%,2.0,0.0,8.62,16.67%
2024-07-13,17.0,2811.0,0.60%,CAD,1.03,17.58,25.00%,75.00%,0.0,0.0,0.0,0.00%
2024-07-12,32.0,4329.0,0.74%,CAD,0.92,29.4,14.29%,76.19%,5.0,0.0,5.88,15.63%
2024-07-11,19.0,2566.0,0.74%,CAD,1.06,20.12,24.14%,62.07%,2.0,0.0,10.06,10.53%
2024-07-10,10.0,1298.0,0.77%,CAD,2.11,21.07,33.33%,63.33%,1.0,0.0,21.07,10.00%
2024-07-09,7.0,603.0,1.16%,CAD,3.34,23.41,26.32%,68.42%,1.0,0.0,23.41,14.29%
2024-07-08,16.0,3349.0,0.48%,CAD,1.22,19.6,25.00%,54.17%,4.0,0.0,4.9,25.00%
2024-07-06,21.0,2601.0,0.81%,CAD,0.93,19.62,25.81%,77.42%,1.0,0.0,19.62,4.76%
2024-07-05,6.0,507.0,1.18%,CAD,3.31,19.84,13.33%,60.00%,0.0,0.0,0.0,0.00%
2024-07-04,7.0,1501.0,0.47%,CAD,2.93,20.49,23.53%,52.94%,2.0,0.0,10.24,28.57%
2024-07-03,10.0,1091.0,0.92%,CAD,2.15,21.45,40.00%,73.33%,2.0,0.0,10.73,20.00%
2024-07-02,4.0,154.0,2.60%,CAD,7.43,29.72,28.57%,85.71%,0.0,0.0,0.0,0.00%
2024-07-01,15.0,2349.0,0.64%,CAD,2.22,33.34,25.93%,77.78%,3.0,0.0,11.11,20.00%
2024-06-29,5.0,912.0,0.55%,CAD,1.71,8.56,23.81%,76.19%,0.0,0.0,0.0,0.00%
2024-06-28,25.0,2016.0,1.24%,CAD,1.32,32.91,16.67%,66.67%,4.0,0.0,8.23,16.00%
2024-06-27,2.0,797.0,0.25%,CAD,1.72,3.45,5.00%,80.00%,0.0,0.0,0.0,0.00%
2024-06-26,33.0,4102.0,0.80%,CAD,0.84,27.72,0.00%,63.64%,3.0,0.0,9.24,9.09%
2024-06-25,13.0,2198.0,0.59%,CAD,1.46,19.03,31.25%,93.75%,3.0,0.0,6.34,23.08%
2024-06-24,16.0,3025.0,0.53%,CAD,1.06,16.9,0.00%,55.56%,2.0,0.0,8.45,12.50%
2024-06-22,18.0,2186.0,0.82%,CAD,1.01,18.17,12.50%,100.00%,0.0,0.0,0.0,0.00%
2024-06-21,8.0,1496.0,0.53%,CAD,2.17,17.37,9.62%,82.69%,0.0,0.0,0.0,0.00%
2024-06-20,22.0,2480.0,0.89%,CAD,1.9,41.73,18.18%,75.76%,5.0,0.0,8.35,22.73%
2024-06-19,2.0,948.0,0.21%,CAD,2.8,5.6,17.86%,71.43%,1.0,0.0,5.6,50.00%
2024-06-18,17.0,1850.0,0.92%,CAD,1.39,23.66,19.23%,80.77%,0.0,0.0,0.0,0.00%
2024-06-17,23.0,2002.0,1.15%,CAD,1.23,28.27,28.81%,67.80%,3.0,0.0,9.42,13.04%
2024-06-15,22.0,2144.0,1.03%,CAD,0.71,15.71,0.00%,75.00%,2.0,0.0,7.85,9.09%
2024-06-14,20.0,1821.0,1.10%,CAD,1.13,22.7,37.50%,92.50%,0.0,0.0,0.0,0.00%
2024-06-13,17.0,1844.0,0.92%,CAD,1.05,17.82,10.71%,82.14%,3.0,0.0,5.94,17.65%
2024-06-12,22.0,2036.0,1.08%,CAD,1.43,31.41,18.92%,89.19%,3.0,0.0,10.47,13.64%
2024-06-11,18.0,1546.0,1.16%,CAD,0.91,16.36,12.00%,88.00%,2.0,0.0,8.18,11.11%
2024-06-10,22.0,2789.0,0.79%,CAD,1.0,22.11,25.58%,76.74%,0.0,0.0,0.0,0.00%
2024-06-08,25.0,2829.0,0.88%,CAD,0.76,19.02,30.00%,90.00%,1.0,0.0,19.02,4.00%
2024-06-07,19.0,3974.0,0.48%,CAD,0.84,16.03,40.00%,86.67%,3.0,0.0,5.34,15.79%
2024-06-06,33.0,3653.0,0.90%,CAD,0.82,27.15,34.62%,73.08%,1.0,0.0,27.15,3.03%
2024-06-05,33.0,6795.0,0.49%,CAD,0.61,20.25,13.33%,86.67%,4.0,0.0,5.06,12.12%
2024-06-04,27.0,3405.0,0.79%,CAD,0.64,17.23,5.26%,94.74%,3.0,0.0,5.74,11.11%
2024-06-03,27.0,5239.0,0.52%,CAD,0.66,17.94,52.38%,100.00%,2.0,0.0,8.97,7.41%
2024-06-01,45.0,6574.0,0.68%,CAD,0.5,22.67,0.00%,100.00%,3.0,0.0,7.56,6.67%
2024-05-31,38.0,5053.0,0.75%,CAD,0.68,25.9,20.00%,86.67%,3.0,0.0,8.63,7.89%
2024-05-30,2.0,517.0,0.39%,CAD,1.39,2.78,33.33%,88.89%,0.0,0.0,0.0,0.00%
2024-05-29,17.0,2395.0,0.71%,CAD,0.77,13.16,30.77%,84.62%,2.0,0.0,6.58,11.76%
2024-05-28,16.0,4960.0,0.32%,CAD,0.87,13.94,17.39%,73.91%,0.0,0.0,0.0,0.00%
2024-05-27,11.0,1179.0,0.93%,CAD,1.63,17.96,0.00%,71.43%,5.0,0.0,3.59,45.45%
2024-05-25,20.0,4328.0,0.46%,CAD,1.02,20.33,18.52%,66.67%,1.0,0.0,20.33,5.00%
2024-05-24,11.0,2395.0,0.46%,CAD,1.76,19.33,16.00%,84.00%,1.0,0.0,19.33,9.09%
2024-05-23,14.0,2938.0,0.48%,CAD,1.69,23.61,32.00%,76.00%,8.0,0.0,2.95,57.14%
2024-05-22,14.0,2572.0,0.54%,CAD,1.7,23.83,38.00%,82.00%,1.0,0.0,23.83,7.14%
2024-05-21,16.0,2040.0,0.78%,CAD,2.1,33.62,37.70%,78.69%,4.0,0.0,8.4,25.00%
2024-05-20,20.0,2680.0,0.75%,CAD,2.09,41.79,18.52%,74.07%,3.0,0.0,13.93,15.00%
2024-05-18,1.0,843.0,0.12%,CAD,2.26,2.26,17.07%,75.61%,0.0,0.0,0.0,0.00%
2024-05-17,17.0,2662.0,0.64%,CAD,1.39,23.61,16.67%,80.95%,4.0,0.0,5.9,23.53%
2024-05-16,20.0,1766.0,1.13%,CAD,1.34,26.72,32.65%,91.84%,6.0,0.0,4.45,30.00%
2024-05-15,1.0,772.0,0.13%,CAD,1.81,1.81,8.70%,82.61%,0.0,0.0,0.0,0.00%
2024-05-14,24.0,2074.0,1.16%,CAD,1.21,29.06,23.33%,90.00%,2.0,0.0,14.53,8.33%
2024-05-13,30.0,2846.0,1.05%,CAD,0.86,25.87,33.33%,91.67%,2.0,0.0,12.93,6.67%
2024-05-11,38.0,5866.0,0.65%,CAD,0.63,23.98,60.00%,100.00%,2.0,0.0,11.99,5.26%
2024-05-10,29.0,4246.0,0.68%,CAD,0.6,17.53,52.94%,82.35%,7.0,0.0,2.5,24.14%
2024-05-09,49.0,8997.0,0.54%,CAD,0.47,23.0,11.11%,88.89%,1.0,0.0,23.0,2.04%
2024-05-08,43.0,5095.0,0.84%,CAD,0.49,21.12,60.00%,100.00%,1.0,0.0,21.12,2.33%
2024-05-07,24.0,3867.0,0.62%,CAD,0.62,14.89,7.69%,100.00%,1.0,0.0,14.89,4.17%
2024-05-06,23.0,3562.0,0.65%,CAD,0.77,17.81,20.00%,80.00%,1.0,0.0,17.81,4.35%
2024-05-04,40.0,7835.0,0.51%,CAD,0.63,25.28,0.00%,85.71%,0.0,0.0,0.0,0.00%
2024-05-03,23.0,3693.0,0.62%,CAD,0.8,18.32,5.26%,100.00%,0.0,0.0,0.0,0.00%
2024-05-02,24.0,2951.0,0.81%,CAD,1.18,28.43,18.75%,93.75%,2.0,0.0,14.21,8.33%
2024-05-01,18.0,2926.0,0.62%,CAD,0.84,15.12,35.29%,89.71%,2.0,0.0,7.56,11.11%
2024-04-30,10.0,1631.0,0.61%,CAD,1.88,18.78,35.42%,97.92%,0.0,0.0,0.0,0.00%
2024-04-29,13.0,1835.0,0.71%,CAD,1.48,19.21,47.37%,89.47%,0.0,0.0,0.0,0.00%
2024-04-27,34.0,6856.0,0.50%,CAD,0.71,23.98,71.43%,100.00%,1.0,0.0,23.98,2.94%
2024-04-26,17.0,4279.0,0.40%,CAD,1.13,19.17,41.67%,91.67%,0.0,0.0,0.0,0.00%
2024-04-25,15.0,2820.0,0.53%,CAD,1.01,15.21,29.33%,81.33%,0.0,0.0,0.0,0.00%
2024-04-24,12.0,2779.0,0.43%,CAD,1.72,20.62,28.95%,89.47%,0.0,0.0,0.0,0.00%
2024-04-23,9.0,2570.0,0.35%,CAD,2.35,21.18,38.46%,90.77%,1.0,0.0,21.18,11.11%
2024-04-22,13.0,2437.0,0.53%,CAD,1.66,21.59,36.21%,86.21%,1.0,0.0,21.59,7.69%
2024-04-20,6.0,1016.0,0.59%,CAD,2.74,16.45,45.28%,86.79%,0.0,0.0,0.0,0.00%
2024-04-19,9.0,1907.0,0.47%,CAD,2.56,23.0,51.92%,92.31%,0.0,0.0,0.0,0.00%
2024-04-18,12.0,2410.0,0.50%,CAD,2.17,26.01,34.00%,92.00%,2.0,0.0,13.01,16.67%
2024-04-17,5.0,1163.0,0.43%,CAD,2.95,14.77,40.85%,81.69%,0.0,0.0,0.0,0.00%
2024-04-16,11.0,1918.0,0.57%,CAD,1.85,20.3,26.00%,90.00%,3.0,0.0,6.77,27.27%
2024-04-15,11.0,2671.0,0.41%,CAD,1.84,20.26,48.15%,77.78%,1.0,0.0,20.26,9.09%
2024-04-13,6.0,807.0,0.74%,CAD,3.42,20.54,47.83%,91.30%,2.0,0.0,10.27,33.33%
2024-04-12,16.0,2632.0,0.61%,CAD,1.28,20.54,35.71%,92.86%,0.0,0.0,0.0,0.00%
2024-04-11,5.0,972.0,0.51%,CAD,4.55,22.74,34.78%,89.13%,0.0,0.0,0.0,0.00%
2024-04-10,16.0,2338.0,0.68%,CAD,1.68,26.95,5.56%,83.33%,2.0,0.0,13.48,12.50%
2024-04-09,14.0,3128.0,0.45%,CAD,2.68,37.47,46.34%,89.02%,1.0,0.0,37.47,7.14%
2024-04-08,38.0,6592.0,0.58%,CAD,1.28,48.55,22.22%,55.56%,1.0,0.0,48.55,2.63%
2024-04-04,15.0,3211.0,0.47%,CAD,1.66,24.97,4.76%,47.62%,1.0,0.0,24.97,6.67%
2024-04-03,15.0,2580.0,0.58%,CAD,1.6,23.94,25.00%,25.00%,2.0,0.0,11.97,13.33%
2024-04-02,14.0,3542.0,0.40%,CAD,1.06,14.82,16.67%,66.67%,1.0,0.0,14.82,7.14%
2024-04-01,12.0,2642.0,0.45%,CAD,2.43,29.12,0.00%,50.00%,0.0,0.0,0.0,0.00%
2024-03-30,4.0,387.0,1.03%,CAD,4.73,18.91,0.00%,100.00%,1.0,0.0,18.91,25.00%
2024-03-29,15.0,2687.0,0.56%,CAD,1.8,26.99,0.00%,66.67%,1.0,0.0,26.99,6.67%
2024-03-28,32.0,4749.0,0.67%,CAD,0.91,29.23,31.25%,56.25%,3.0,0.0,9.74,9.38%
2024-03-27,18.0,3394.0,0.53%,CAD,1.26,22.74,0.00%,46.43%,3.0,0.0,7.58,16.67%
2024-03-26,28.0,4657.0,0.60%,CAD,0.91,25.46,23.08%,53.85%,5.0,0.0,5.09,17.86%
2024-03-25,19.0,1920.0,0.99%,CAD,1.36,25.78,15.00%,60.00%,1.0,0.0,25.78,5.26%
2024-03-23,0.0,14.0,0.00%,CAD,0.0,0.0,0.00%,20.00%,0.0,0.0,0.0,0
2024-03-22,24.0,5243.0,0.46%,CAD,0.76,18.33,100.00%,100.00%,1.0,0.0,18.33,4.17%
2024-03-21,59.0,11071.0,0.53%,CAD,0.43,25.53,0.00%,0.00%,2.0,0.0,12.77,3.39%
2024-03-20,23.0,4505.0,0.51%,CAD,0.83,19.1,10.00%,50.00%,2.0,0.0,9.55,8.70%
2024-03-19,18.0,3542.0,0.51%,CAD,0.92,16.64,0.00%,0.00%,2.0,0.0,8.32,11.11%
2024-03-18,21.0,3606.0,0.58%,CAD,0.93,19.59,19.23%,88.46%,3.0,0.0,6.53,14.29%
2024-03-16,18.0,5437.0,0.33%,CAD,0.87,15.6,41.67%,100.00%,1.0,0.0,15.6,5.56%
2024-03-15,17.0,5218.0,0.33%,CAD,1.13,19.26,12.50%,87.50%,1.0,0.0,19.26,5.88%
2024-03-14,18.0,4512.0,0.40%,CAD,1.25,22.47,35.00%,85.00%,1.0,0.0,22.47,5.56%
2024-03-13,9.0,2123.0,0.42%,CAD,1.48,13.31,47.06%,76.47%,0.0,0.0,0.0,0.00%
2024-03-12,5.0,461.0,1.08%,CAD,5.31,26.56,45.95%,94.59%,1.0,0.0,26.56,20.00%
2024-03-11,21.0,2349.0,0.89%,CAD,1.77,37.18,41.67%,91.67%,2.0,0.0,18.59,9.52%
2024-03-09,45.0,7564.0,0.59%,CAD,0.77,34.73,10.00%,60.00%,4.0,0.0,8.68,8.89%
2024-03-08,1.0,490.0,0.20%,CAD,1.78,1.78,0.00%,0.00%,0.0,0.0,0.0,0.00%
2024-03-07,24.0,5281.0,0.45%,CAD,0.73,17.48,12.50%,87.50%,1.0,0.0,17.48,4.17%
2024-03-06,47.0,11172.0,0.42%,CAD,0.57,26.86,10.53%,73.68%,3.0,1.0,8.95,6.38%
2024-03-05,29.0,6328.0,0.46%,CAD,0.83,24.2,13.64%,72.73%,0.0,0.0,0.0,0.00%
2024-03-04,17.0,2439.0,0.70%,CAD,1.29,21.92,9.38%,56.25%,0.0,0.0,0.0,0.00%
2024-03-02,37.0,7539.0,0.49%,CAD,0.45,16.66,0.00%,0.00%,0.0,0.0,0.0,0.00%
2024-03-01,25.0,3808.0,0.66%,CAD,0.6,15.04,50.00%,75.00%,3.0,0.0,5.01,12.00%
2024-02-29,24.0,5127.0,0.47%,CAD,0.57,13.63,0.00%,80.00%,0.0,0.0,0.0,0.00%
2024-02-28,23.0,8963.0,0.26%,CAD,0.55,12.6,17.65%,82.35%,0.0,0.0,0.0,0.00%
2024-02-27,17.0,3061.0,0.56%,CAD,1.08,18.4,27.27%,90.91%,1.0,0.0,18.4,5.88%
2024-02-26,17.0,2746.0,0.62%,CAD,0.92,15.62,29.03%,70.97%,1.0,0.0,15.62,5.88%
2024-02-24,22.0,2845.0,0.77%,CAD,0.62,13.55,0.00%,71.43%,1.0,0.0,13.55,4.55%
2024-02-23,15.0,1832.0,0.82%,CAD,1.36,20.46,22.22%,100.00%,1.0,0.0,20.46,6.67%
2024-02-22,16.0,2151.0,0.74%,CAD,1.48,23.62,20.00%,90.00%,0.0,0.0,0.0,0.00%
2024-02-21,17.0,1355.0,1.25%,CAD,1.51,25.68,28.57%,85.71%,2.0,0.0,12.84,11.76%
2024-02-20,6.0,956.0,0.63%,CAD,4.4,26.37,25.93%,77.78%,0.0,0.0,0.0,0.00%
2024-02-19,21.0,2285.0,0.92%,CAD,1.64,34.39,3.57%,75.00%,4.0,0.0,8.6,19.05%
2024-02-17,31.0,6502.0,0.48%,CAD,0.64,19.95,33.33%,75.00%,4.0,0.0,4.99,12.90%
2024-02-16,35.0,4094.0,0.85%,CAD,0.81,28.31,10.00%,70.00%,3.0,0.0,9.44,8.57%
2024-02-15,53.0,8660.0,0.61%,CAD,0.7,37.29,37.50%,75.00%,4.0,0.0,9.32,7.55%
2024-02-14,0.0,249.0,0.00%,CAD,0.0,0.0,0.00%,66.67%,0.0,0.0,0.0,0
2024-02-13,19.0,4002.0,0.47%,CAD,0.69,13.19,0.00%,40.00%,0.0,0.0,0.0,0.00%
2024-02-12,23.0,4223.0,0.54%,CAD,0.82,18.96,6.67%,60.00%,2.0,0.0,9.48,8.70%
2024-02-10,46.0,8150.0,0.56%,CAD,0.47,21.55,0.00%,100.00%,1.0,0.0,21.55,2.17%
2024-02-09,34.0,5424.0,0.63%,CAD,0.61,20.64,40.00%,100.00%,1.0,0.0,20.64,2.94%
2024-02-08,25.0,3609.0,0.69%,CAD,0.78,19.56,0.00%,50.00%,2.0,0.0,9.78,8.00%
2024-02-07,21.0,2797.0,0.75%,CAD,1.06,22.26,10.00%,90.00%,0.0,0.0,0.0,0.00%
2024-02-06,23.0,5026.0,0.46%,CAD,0.89,20.47,0.00%,83.33%,2.0,0.0,10.24,8.70%
2024-02-05,28.0,4923.0,0.57%,CAD,1.11,31.08,7.69%,53.85%,0.0,0.0,0.0,0.00%
2024-02-03,41.0,7019.0,0.58%,CAD,0.58,23.7,0.00%,66.67%,4.0,0.0,5.93,9.76%
2024-02-02,21.0,4255.0,0.49%,CAD,0.73,15.26,100.00%,100.00%,1.0,2.0,15.26,4.76%
2024-02-01,21.0,2127.0,0.99%,CAD,0.82,17.23,25.00%,58.33%,1.0,0.0,17.23,4.76%
2024-01-31,10.0,2564.0,0.39%,CAD,1.11,11.12,7.69%,38.46%,2.0,0.0,5.56,20.00%
2024-01-30,15.0,1668.0,0.90%,CAD,1.27,19.06,27.78%,83.33%,2.0,0.0,9.53,13.33%
2024-01-29,13.0,1970.0,0.66%,CAD,2.0,26.02,46.15%,92.31%,3.0,0.0,8.67,23.08%
2024-01-27,33.0,6360.0,0.52%,CAD,0.87,28.71,40.00%,100.00%,2.0,0.0,14.36,6.06%
2024-01-26,21.0,4907.0,0.43%,CAD,1.26,26.44,21.43%,78.57%,4.0,0.0,6.61,19.05%
2024-01-25,20.0,4816.0,0.42%,CAD,1.16,23.27,20.00%,70.00%,2.0,0.0,11.63,10.00%
2024-01-24,1.0,387.0,0.26%,CAD,2.48,2.48,21.05%,89.47%,0.0,0.0,0.0,0.00%
2024-01-23,31.0,7833.0,0.40%,CAD,1.12,34.8,14.29%,57.14%,4.0,0.0,8.7,12.90%
2024-01-22,37.0,4881.0,0.76%,CAD,0.89,33.03,31.58%,84.21%,3.0,0.0,11.01,8.11%
2024-01-20,1.0,239.0,0.42%,CAD,2.1,2.1,100.00%,100.00%,0.0,0.0,0.0,0.00%
2024-01-19,36.0,10168.0,0.35%,CAD,0.5,17.94,16.67%,83.33%,1.0,0.0,17.94,2.78%
2024-01-18,21.0,7492.0,0.28%,CAD,0.93,19.58,0.00%,83.33%,3.0,0.0,6.53,14.29%
2024-01-17,17.0,2921.0,0.58%,CAD,1.01,17.14,18.18%,63.64%,1.0,0.0,17.14,5.88%
2024-01-16,21.0,2870.0,0.73%,CAD,1.2,25.3,60.00%,93.33%,3.0,0.0,8.43,14.29%
2024-01-15,21.0,2689.0,0.78%,CAD,1.13,23.66,30.00%,60.00%,2.0,0.0,11.83,9.52%
2024-01-13,34.0,4661.0,0.73%,CAD,1.15,39.04,44.44%,77.78%,2.0,0.0,19.52,5.88%
2024-01-12,20.0,4107.0,0.49%,CAD,1.57,31.3,50.00%,92.11%,1.0,0.0,31.3,5.00%
2024-01-11,0.0,255.0,0.00%,CAD,0.0,0.0,18.75%,75.00%,0.0,0.0,0.0,0
2024-01-10,24.0,7259.0,0.33%,CAD,0.84,20.14,0.00%,60.00%,1.0,0.0,20.14,4.17%
2024-01-09,35.0,8897.0,0.39%,CAD,0.67,23.49,0.00%,91.67%,1.0,0.0,23.49,2.86%
2024-01-08,26.0,6178.0,0.42%,CAD,0.83,21.59,16.67%,50.00%,2.0,1.0,10.8,7.69%
2024-01-06,65.0,10742.0,0.61%,CAD,0.66,42.95,0.00%,100.00%,3.0,1.0,14.32,4.62%
2024-01-05,0.0,244.0,0.00%,CAD,0.0,0.0,100.00%,100.00%,0.0,0.0,0.0,0
